2026年1月6日更新
河南电信IPTV,#genre#
烟台影视,http://182.32.159.109:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
黄岛生活,http://182.32.159.109:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
兰陵综合,http://182.32.159.109:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
黄岛新闻,http://182.32.159.109:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
德州公共,http://182.32.159.109:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
德州新闻,http://182.32.159.109:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
郓城新闻,http://182.32.159.109:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
禹城综合,http://182.32.159.109:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
禹城综艺,http://182.32.159.109:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
夏津综合,http://182.32.159.109:85/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
临沂一套,http://182.32.159.109:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
临沂二套,http://182.32.159.109:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
烟台新闻综合,http://182.32.159.109:85/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://123.129.70.178:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://123.129.70.178:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
